,,,,,,,,,,,,,,,,,,,
Parameter:,,,CO_mg,,8:21 PM,42101,,,,,,April,,2026,,,,,Units:,,,mg/m3,005,,Method:,
Site Name:,0,1,2,3,4,5,6,7,8,9,10,11,Hours,13,14,15,16,17,Avg Interval:,19,20,21,22,23,Summary
Day,,,,,,,,,,,,,,,,,,,,,,,,,Max,Avg,RDS
01,.506,.493,.487,.480,.477,.482,.736,.946,.889,.939,.858,.771,.646,.635,.557,.670,.765,.896,1.044,.716,.669,.603,.566,.483,1.044,.679,24
02,,,,.482,.428,.471,.711,.976,1.096,1.126,.845,.724,.721,.559,.672,.550,.741,.877,.920,.931,.782,.753,.779,.530,1.126,.746,21
03,.698,.571,.494,.543,.611,.699,.977,1.360,1.217,.704,.761,.670,.507,.409,.462,.449,.449,.545,.683,.686,.687,.741,.810,.578,1.360,.679,24
04,,,,.388,.468,.610,.739,.904,.560,.405,.415,.410,.407,.475,.471,.438,.510,.562,.639,.778,.744,.722,.692,.764,.904,.576,21
05,.610,.569,.526,.528,.448,.458,.622,.520,.594,.622,.573,.462,.560,.487,.505,.748,.854,.762,.744,.837,.991,.994,.869,1.037,1.037,.663,24
06,,,,.524,.526,.588,1.329,2.033,1.543,1.107,.872,.718,.606,.654,.502,.602,.642,.900,.914,.790,.794,.804,.628,.522,2.033,.838,21
07,.479,.410,.404,.411,.421,.533,.929,1.137,1.141,.902,.739,.630,.555,.553,.542,.529,.621,.883,.928,1.085,1.139,1.107,.936,1.044,1.141,.752,24
08,,,,.540,.490,.561,.896,1.425,1.099,.711,.677,.581,.550,.561,.586,.552,.575,.782,.975,1.118,.944,.861,.895,.692,1.425,.765,21
09,.765,.583,.433,.363,.421,.597,.917,.723,.666,.682,.633,.678,.603,.655,.625,.628,.625,.786,.908,.820,.676,.582,.716,.722,.917,.658,24
10,,,,.585,.347,.493,1.190,1.799,.708,.656,.635,.599,.576,.586,.629,.619,.570,.663,1.012,.847,.879,1.067,.904,.751,1.799,.767,21
11,.668,.659,.686,.554,.516,.623,.835,.748,.864,.588,.532,.565,.531,.521,.492,.534,.563,.582,.711,.803,.882,.757,.583,.869,.882,.652,24
12,,,,.712,.631,.536,.570,1.053,.983,.773,.502,.477,.575,.474,.439,.456,.427,.401,.562,.715,.625,.656,.635,.625,1.053,.610,21
13,.485,.455,.413,.417,.406,.476,.592,.768,1.110,.681,.607,.560,.536,.498,.507,.600,.812,.841,1.169,1.203,.922,.970,.822,.673,1.203,.688,24
14,,,,.349,.356,.468,1.165,1.166,.943,.910,.727,.781,.766,.750,.684,.953,1.006,1.086,1.446,1.167,.852,.754,.790,.879,1.446,.857,21
15,.752,.542,.517,.477,.447,.513,.895,1.124,1.114,.994,1.105,.837,.676,.729,.818,.970,1.024,1.104,1.028,.922,.753,.623,.544,.446,1.124,.789,24
16,,,,.400,.402,.477,.727,1.233,1.209,.959,.787,.916,.723,.967,.889,.806,1.028,1.186,1.314,1.323,1.093,.895,.692,.628,1.323,.888,21
17,.508,.429,.389,.385,.387,.499,.778,1.154,1.183,1.015,.984,1.254,1.079,.870,.796,.772,1.013,1.075,2.018,.933,.935,1.015,1.015,.612,2.018,.879,24
18,,,,.474,.471,.561,.661,.631,.734,.844,.887,.836,.663,.678,.719,.592,.627,.645,.607,.789,.745,.685,.647,.652,.887,.673,21
19,.534,.475,.516,.518,.418,.459,.504,.637,.660,.627,.724,.596,.543,.517,.670,.606,.637,.729,.664,.595,.620,.548,.492,.485,.729,.573,24
20,,,,.398,.412,.451,.889,1.209,1.648,1.116,.884,.636,.691,.819,.710,.753,.928,1.143,1.211,1.196,1.139,.682,.779,.657,1.648,.873,21
21,.513,.488,.505,.498,.523,.569,.978,1.211,1.203,.908,.826,.754,.835,.865,.859,.888,.959,1.228,1.196,1.063,1.386,1.433,1.074,.690,1.433,.893,24
22,,,,.471,.464,.603,.838,1.519,1.425,.930,.651,.695,.711,.718,.881,.914,.861,1.023,1.184,1.013,1.210,.737,.650,.582,1.519,.860,21
