,,,,,,,,,,,,,,,,,,,
Parameter:,,,OZONO_ug,,8:18 PM,44201,,,,,,April,,2026,,,,,Units:,,,ug/m3,001,,Method:,
Site Name:,0,1,2,3,4,5,6,7,8,9,10,11,Hours,13,14,15,16,17,Avg Interval:,19,20,21,22,23,Summary
Day,,,,,,,,,,,,,,,,,,,,,,,,,Max,Avg,RDS
01,15.19,12.43,13.00,12.50,11.15,10.36,10.83,17.85,31.95,38.03,41.43,52.16,80.33,74.81,54.97,46.12,30.04,23.38,13.60,29.63,31.38,35.88,34.84,34.48,80.33,31.51,24
02,,,18.08,19.43,15.22,11.47,10.77,15.85,19.61,24.56,38.73,51.54,63.90,67.96,64.72,62.72,43.07,33.74,25.18,20.71,28.62,28.82,22.99,26.52,67.96,32.46,22
03,11.45,12.01,14.77,11.43,10.18,10.08,10.82,14.00,20.55,43.86,46.55,39.84,70.29,92.69,99.47,102.99,96.13,72.81,45.59,37.78,29.62,21.83,18.08,34.08,102.99,40.28,24
04,,,26.37,24.95,16.40,10.81,12.14,21.22,48.25,60.71,66.35,71.02,79.91,85.53,85.88,89.21,74.31,61.10,43.40,32.10,25.18,21.71,19.86,16.44,89.21,45.12,22
05,17.62,17.77,18.99,18.12,26.60,20.47,18.58,20.45,25.20,27.98,33.93,51.23,63.31,81.39,68.43,39.48,29.68,30.14,27.78,20.74,14.60,12.35,12.13,12.01,81.39,29.54,24
06,,,11.64,13.97,9.67,10.34,11.69,16.57,20.60,24.39,34.66,41.16,,,,76.28,64.60,40.81,29.64,28.69,24.42,14.61,21.51,24.60,76.28,27.36,19
07,27.41,30.64,16.22,20.16,10.74,5.95,9.14,15.76,18.89,22.43,31.88,59.20,78.05,76.00,72.97,66.79,58.99,34.33,22.03,9.89,8.92,8.18,8.27,8.25,78.05,30.04,24
08,,,6.00,7.29,9.20,10.30,6.94,10.58,23.20,29.50,34.92,44.70,49.96,54.79,55.80,54.88,49.88,35.94,17.29,9.86,10.45,8.34,7.47,8.11,55.80,24.79,22
09,7.39,12.15,15.40,17.56,5.31,5.43,8.37,18.55,26.17,29.40,29.46,33.57,37.05,30.86,26.24,28.44,26.79,20.75,9.47,10.44,11.37,17.76,10.81,6.00,37.05,18.53,24
10,,,3.73,6.23,28.86,15.05,5.64,11.23,30.40,31.83,33.60,40.53,39.70,39.91,43.57,53.39,55.63,41.13,19.95,16.05,12.29,8.08,9.90,11.46,55.63,25.37,22
11,9.50,8.81,7.18,7.29,5.72,6.27,7.96,21.07,25.73,35.83,41.09,42.02,44.84,48.56,40.54,32.44,43.53,39.46,21.64,14.59,11.46,13.21,10.26,6.46,48.56,22.72,24
12,,,5.04,4.41,4.20,5.43,6.71,15.08,23.51,27.26,40.97,57.26,65.29,60.95,59.17,70.89,60.27,52.37,34.48,23.98,27.03,20.36,17.66,11.59,70.89,31.54,22
13,20.25,24.93,25.71,22.27,22.29,13.63,13.55,17.02,23.32,38.22,42.59,57.17,56.83,68.44,65.66,54.75,33.51,17.62,11.24,8.10,7.54,7.71,8.25,9.87,68.44,27.93,24
14,,,40.23,36.18,35.37,26.95,7.94,18.93,30.79,33.70,45.43,54.60,77.16,91.40,75.21,40.93,25.17,20.82,7.53,6.64,10.36,13.87,10.33,7.02,91.40,32.57,22
15,8.65,11.54,17.43,19.61,21.47,8.78,6.93,10.69,16.45,26.13,29.36,59.13,74.22,75.97,55.59,49.41,34.74,24.42,22.66,23.60,28.26,34.66,38.76,50.44,75.97,31.20,24
16,,,42.08,43.44,24.73,15.36,7.83,10.23,18.49,21.75,32.52,54.50,59.84,43.71,38.19,36.55,21.72,17.92,15.90,11.23,10.16,19.64,24.25,12.11,59.84,26.46,22
17,32.17,40.50,27.49,7.91,6.16,5.89,9.39,8.91,14.02,22.35,25.01,30.39,41.30,51.59,43.67,37.28,24.67,21.21,37.34,16.33,11.30,8.94,13.07,22.28,51.59,23.29,24
18,,,14.26,10.10,20.38,10.59,12.97,20.75,30.53,32.50,31.60,53.18,55.28,46.73,46.20,46.63,37.81,30.80,25.83,18.21,16.34,15.91,18.15,22.24,55.28,28.04,22
19,21.01,24.49,20.16,18.01,27.49,15.66,7.21,11.02,20.42,19.18,31.25,41.72,40.59,41.05,39.33,40.36,31.95,12.77,20.50,22.00,23.62,23.88,27.01,24.37,41.72,25.21,24
20,,,21.17,29.27,25.06,10.13,6.20,8.17,11.00,20.98,21.39,32.88,32.41,36.04,42.66,38.95,34.02,18.59,9.82,7.14,7.00,10.69,6.68,9.38,42.66,19.98,22
21,7.63,5.93,4.87,5.19,4.50,4.36,5.38,8.42,16.51,21.18,20.44,29.51,35.38,34.99,26.39,25.40,21.98,11.63,6.49,6.07,6.37,6.41,5.58,6.80,35.38,13.64,24
22,,,4.43,4.14,4.18,4.59,5.60,9.16,18.15,19.24,36.52,45.46,38.36,26.77,24.27,19.94,14.97,11.74,6.20,6.92,7.33,11.50,12.18,11.34,45.46,15.59,22
23,12.43,6.53,8.98,7.37,7.18,6.43,6.36,9.53,11.52,21.72,26.53,36.94,42.70,30.46,30.97,25.42,21.00,15.94,10.01,10.19,8.35,10.02,19.71,18.60,42.70,16.87,24
24,,,5.59,4.32,4.39,4.36,6.07,8.95,15.98,,,,75.41,69.03,46.39,40.84,43.50,41.14,36.78,38.29,32.97,32.69,27.44,18.34,75.41,29.07,19
25,18.94,17.25,14.32,14.05,11.05,11.56,13.85,23.07,33.69,38.83,35.44,51.61,70.61,82.53,68.62,55.79,45.58,35.50,27.24,28.97,28.87,25.44,30.58,30.83,82.53,33.92,24
26,,,25.66,24.89,18.65,21.38,28.78,26.28,38.16,39.82,38.58,58.50,72.21,68.44,56.85,40.30,43.37,38.33,31.91,29.23,28.21,32.15,31.15,26.90,72.21,37.26,22
27,35.74,39.81,44.11,38.52,28.98,26.11,20.68,22.55,,,46.49,48.60,51.83,62.65,,42.22,28.94,22.76,18.61,20.98,21.33,21.89,20.72,21.27,62.65,32.60,21
28,,,14.15,12.91,12.84,13.50,14.91,19.99,29.15,,,,,,,,,59.85,53.00,55.88,61.83,45.27,51.67,52.22,61.83,35.51,14
29,54.17,54.32,42.90,36.85,33.92,32.65,31.77,37.55,43.87,54.07,59.04,61.38,69.81,,,,,,,,,,,,69.81,47.10,13
30,,,,,,,,,,,,,,,,,,,,,,,,,,,0
